window_s,auc_move,r2_speed
1.000000000000000056e-01,5.736616681517323624e-01,-9.906274467563484787e-02
2.000000000000000111e-01,6.486869643105308558e-01,-9.389108175085572605e-02
3.499999999999999778e-01,6.715175986906015693e-01,-9.084142541145286132e-02
5.000000000000000000e-01,6.413038705092575231e-01,-8.932733186213188958e-02
7.500000000000000000e-01,6.598648521164449665e-01,-8.544343879834101485e-02
1.000000000000000000e+00,6.543849924511361271e-01,-8.097420950682483742e-02
1.500000000000000000e+00,5.815572142988817417e-01,-7.511146553313752250e-02
2.000000000000000000e+00,5.792501570805171918e-01,-7.193902375124087978e-02
3.000000000000000000e+00,5.622181630958404952e-01,-6.957519242321308361e-02
4.000000000000000000e+00,5.033635959745276223e-01,-6.603795038820828300e-02
