lag_s,auc_move,r2_speed
-1.000000000000000000e+00,7.560694543428538861e-01,-7.099905908602628657e-02
-9.000000000000000222e-01,7.463215379596970234e-01,-6.368570384247614069e-02
-8.000000000000000444e-01,7.739731150872676269e-01,-5.750771700017229954e-02
-6.999999999999999556e-01,7.677505204980743514e-01,-5.437933985438427736e-02
-5.999999999999999778e-01,7.959573122908633058e-01,-5.409130551174447937e-02
-5.000000000000000000e-01,8.104835343168377282e-01,-4.732652792009552772e-02
-4.000000000000000222e-01,8.056538051067558825e-01,-4.507872678457756216e-02
-2.999999999999999889e-01,7.852663450100179077e-01,-4.904138734854688458e-02
-2.000000000000000111e-01,7.916476583047563631e-01,-4.626950622759680443e-02
-1.000000000000000056e-01,7.832741690360277564e-01,-3.747981744249972991e-02
-0.000000000000000000e+00,7.670303047838670230e-01,-3.731031453312712298e-02
1.000000000000000056e-01,7.578643898269590284e-01,-4.150316986192670310e-02
2.000000000000000111e-01,7.427890599829056750e-01,-4.425852866524404572e-02
2.999999999999999889e-01,7.362522987783763906e-01,-4.702048319522691283e-02
4.000000000000000222e-01,7.860287605157519897e-01,-5.437852161393426365e-02
5.000000000000000000e-01,7.696352542929594254e-01,-6.726054153376688494e-02
5.999999999999999778e-01,7.422428729805605752e-01,-7.430975039240458879e-02
6.999999999999999556e-01,7.162883644514520531e-01,-7.501916434410253742e-02
8.000000000000000444e-01,7.424260840685248386e-01,-8.069966804202241550e-02
9.000000000000000222e-01,6.905933528898856588e-01,-8.488306685359829629e-02
1.000000000000000000e+00,6.621403434570194424e-01,-8.152662684659953141e-02
