window_s,auc_move,r2_speed
1.000000000000000056e-01,7.131879003531974570e-01,-6.298210590126243624e-02
2.000000000000000111e-01,7.481417263749525759e-01,-4.943878880407572701e-02
3.499999999999999778e-01,7.722895480077698327e-01,-4.596000587471580495e-02
5.000000000000000000e-01,7.267762578407213070e-01,-4.786981562825316783e-02
7.500000000000000000e-01,7.936749819828750052e-01,-5.178535925668228262e-02
1.000000000000000000e+00,8.010527155999612736e-01,-6.338533417408900861e-02
1.500000000000000000e+00,7.949716871076997204e-01,-7.001072652715327471e-02
2.000000000000000000e+00,7.929945036579877371e-01,-6.950653840775614101e-02
3.000000000000000000e+00,7.347205167426975603e-01,-7.943508103407712073e-02
4.000000000000000000e+00,6.698962899131777338e-01,-6.994684938723585987e-02
