lag_s,auc_move,r2_speed
-1.000000000000000000e+00,6.750907553313439946e-01,-8.972764959389556427e-02
-9.000000000000000222e-01,6.779233138524831670e-01,-8.894353045386557688e-02
-8.000000000000000444e-01,6.870939211902231669e-01,-8.837792800391494619e-02
-6.999999999999999556e-01,7.023563348229056036e-01,-8.433872021310981348e-02
-5.999999999999999778e-01,7.298115041917976331e-01,-8.153221565753077105e-02
-5.000000000000000000e-01,7.401292667637993095e-01,-8.141622111378714333e-02
-4.000000000000000222e-01,7.411614646714113075e-01,-8.107962603280471914e-02
-2.999999999999999889e-01,7.510159275124340672e-01,-7.639689197006138688e-02
-2.000000000000000111e-01,7.658699516766163118e-01,-7.405628336715056048e-02
-1.000000000000000056e-01,7.674247628168392454e-01,-7.216821710211063223e-02
-0.000000000000000000e+00,7.703956168303187635e-01,-7.227132488111664976e-02
1.000000000000000056e-01,7.618533318931155485e-01,-7.326706556310833007e-02
2.000000000000000111e-01,7.760797644246708593e-01,-7.634587936889973558e-02
2.999999999999999889e-01,7.673567066923303592e-01,-8.047009354634296341e-02
4.000000000000000222e-01,7.464629913118419058e-01,-7.729434246353990290e-02
5.000000000000000000e-01,7.131617668021921208e-01,-7.734905893270138666e-02
5.999999999999999778e-01,6.956986225078221064e-01,-7.658768194915041572e-02
6.999999999999999556e-01,6.666600107457241187e-01,-7.489305351445429970e-02
8.000000000000000444e-01,6.471552349924878378e-01,-7.286921873899576685e-02
9.000000000000000222e-01,6.131316760330530746e-01,-7.967872277182148910e-02
1.000000000000000000e+00,6.257464906749631295e-01,-7.758956792191747109e-02
