window_s,auc_move,r2_speed
1.000000000000000056e-01,7.421713407298803356e-01,-9.025490287573741111e-02
2.000000000000000111e-01,7.436188636601894775e-01,-8.674791671037243579e-02
3.499999999999999778e-01,7.557547215297107934e-01,-8.106109052908909429e-02
5.000000000000000000e-01,7.709424556213628765e-01,-7.951679999065768001e-02
7.500000000000000000e-01,7.504354507014046050e-01,-7.290828923976619413e-02
1.000000000000000000e+00,7.405755554328117274e-01,-6.811504417447278303e-02
1.500000000000000000e+00,6.986223619497706760e-01,-6.363957566803193910e-02
2.000000000000000000e+00,6.727021481113688584e-01,-6.000706001234579201e-02
3.000000000000000000e+00,6.723893890636258863e-01,-4.860811126940241256e-02
4.000000000000000000e+00,6.671379681319971056e-01,-4.621947383534082132e-02
