lag_s,auc_move,r2_speed
-1.000000000000000000e+00,5.010655715176696168e-01,-8.914177416449664548e-02
-9.000000000000000222e-01,4.989323208467373871e-01,-8.714948958945330226e-02
-8.000000000000000444e-01,4.974247498275228274e-01,-8.924383142353504994e-02
-6.999999999999999556e-01,5.028249693620094884e-01,-9.189734554505983588e-02
-5.999999999999999778e-01,5.034920303808969599e-01,-9.247177768453287983e-02
-5.000000000000000000e-01,5.080011623076063909e-01,-9.339639893957732419e-02
-4.000000000000000222e-01,4.941663655099038932e-01,-9.893143766640304093e-02
-2.999999999999999889e-01,4.779228160011124160e-01,-9.966968278128258973e-02
-2.000000000000000111e-01,4.772335677502367313e-01,-1.005451099665397169e-01
-1.000000000000000056e-01,4.848338664565335354e-01,-9.930737162024927400e-02
-0.000000000000000000e+00,4.951168136964911315e-01,-1.001998288990981339e-01
1.000000000000000056e-01,4.909616784828928493e-01,-9.444107617855013181e-02
2.000000000000000111e-01,4.933176497366161817e-01,-9.031280019391511871e-02
2.999999999999999889e-01,5.070359592580209185e-01,-8.455055042341882987e-02
4.000000000000000222e-01,5.039303404051395097e-01,-8.426269451789325515e-02
5.000000000000000000e-01,5.081120904706462049e-01,-7.841652079386052243e-02
5.999999999999999778e-01,5.087254174279447483e-01,-8.027857995879875141e-02
6.999999999999999556e-01,5.045736986871771634e-01,-8.444212661292596622e-02
8.000000000000000444e-01,4.929883008769010422e-01,-9.380492037978212239e-02
9.000000000000000222e-01,4.838364718945453724e-01,-9.741348173148116352e-02
1.000000000000000000e+00,4.826783459486139738e-01,-1.041178960196001285e-01
