window_s,auc_move,r2_speed
1.000000000000000056e-01,4.872239103392993487e-01,-8.932722538413218061e-02
2.000000000000000111e-01,5.043512254094747460e-01,-8.881809714598931649e-02
3.499999999999999778e-01,4.942503433012260250e-01,-8.986144291006140095e-02
5.000000000000000000e-01,4.989313964045846150e-01,-8.788887341021527078e-02
7.500000000000000000e-01,5.085581398053683477e-01,-8.301009144063975498e-02
1.000000000000000000e+00,5.022939621723216952e-01,-9.285190965521010475e-02
1.500000000000000000e+00,4.892773603291614148e-01,-1.087946389153539306e-01
2.000000000000000000e+00,4.807982163926594055e-01,-1.180097858472659578e-01
3.000000000000000000e+00,4.817571863155579170e-01,-1.466319561068884225e-01
4.000000000000000000e+00,4.789460026655736335e-01,-1.664971939177381233e-01
