lag_s,auc_move,r2_speed
-1.000000000000000000e+00,4.874461448138813213e-01,-1.065259475079089607e-01
-9.000000000000000222e-01,4.882691251559166945e-01,-1.076722299258806304e-01
-8.000000000000000444e-01,4.800669962044498140e-01,-1.193808921988199767e-01
-6.999999999999999556e-01,4.845840365787501547e-01,-1.253111563415068019e-01
-5.999999999999999778e-01,4.910909173842472053e-01,-1.227401196643637393e-01
-5.000000000000000000e-01,4.850430049792734399e-01,-1.113000401470397305e-01
-4.000000000000000222e-01,4.806557951006787954e-01,-1.157159088939055253e-01
-2.999999999999999889e-01,4.678748061395571756e-01,-1.096049977603911901e-01
-2.000000000000000111e-01,4.678184246270599145e-01,-1.165896726230379044e-01
-1.000000000000000056e-01,4.832434641301988631e-01,-1.152606020265219688e-01
-0.000000000000000000e+00,4.860423601379986747e-01,-1.207758494512246317e-01
1.000000000000000056e-01,4.895948555660717405e-01,-1.235260945369623248e-01
2.000000000000000111e-01,4.891985918418055301e-01,-1.236583606558675774e-01
2.999999999999999889e-01,4.942106802126159382e-01,-1.087055347410320894e-01
4.000000000000000222e-01,4.854331541281975970e-01,-1.022269602762267693e-01
5.000000000000000000e-01,4.894550138315650334e-01,-9.164053796942975283e-02
5.999999999999999778e-01,4.863108988780641684e-01,-8.998261074183902530e-02
6.999999999999999556e-01,4.644751406878185884e-01,-1.054289219823459633e-01
8.000000000000000444e-01,4.544653108258343011e-01,-1.240429396441042054e-01
9.000000000000000222e-01,4.583990391022940147e-01,-1.315878891389000438e-01
1.000000000000000000e+00,4.689471050117764439e-01,-1.329512429696474984e-01
