window_s,auc_move,r2_speed
1.000000000000000056e-01,5.066154344847365598e-01,-1.000092036611861523e-01
2.000000000000000111e-01,4.958294811616987263e-01,-1.092643767869875965e-01
3.499999999999999778e-01,4.860783388474019806e-01,-1.219794722108352020e-01
5.000000000000000000e-01,4.904840593506934465e-01,-1.161250339915811391e-01
7.500000000000000000e-01,4.846498072543957703e-01,-1.110299776661663740e-01
1.000000000000000000e+00,4.764408315639962477e-01,-1.381282264885748123e-01
1.500000000000000000e+00,4.632504373093355166e-01,-1.695044025995102177e-01
2.000000000000000000e+00,4.527254313036353506e-01,-2.155940702405639287e-01
3.000000000000000000e+00,4.573807644737615807e-01,-2.493446092875625519e-01
4.000000000000000000e+00,4.572217480677219226e-01,-3.494383259499984073e-01
