lag_s,auc_move,r2_speed
-1.000000000000000000e+00,6.948128806519293654e-01,-9.541060668224247976e-02
-9.000000000000000222e-01,7.125109536189129233e-01,-9.682369910692793791e-02
-8.000000000000000444e-01,7.148402602818271223e-01,-9.515484246812282165e-02
-6.999999999999999556e-01,7.089644003793155180e-01,-9.453053015621844246e-02
-5.999999999999999778e-01,7.061954534525289873e-01,-9.706053232609804238e-02
-5.000000000000000000e-01,7.236075528155599956e-01,-9.618155068368650085e-02
-4.000000000000000222e-01,7.454612618936996560e-01,-9.410941927536189966e-02
-2.999999999999999889e-01,7.248548276540277557e-01,-8.758173257718752935e-02
-2.000000000000000111e-01,7.119340017940929410e-01,-8.493330291890546779e-02
-1.000000000000000056e-01,7.057169153434974529e-01,-8.089899845335853101e-02
-0.000000000000000000e+00,6.977799962120939670e-01,-8.199935059697519013e-02
1.000000000000000056e-01,6.570907494168365393e-01,-8.323662772105222540e-02
2.000000000000000111e-01,6.405769937115349810e-01,-8.898716907430555267e-02
2.999999999999999889e-01,6.556993153616224035e-01,-8.823667638236279420e-02
4.000000000000000222e-01,6.549333874778723308e-01,-8.885388724768938928e-02
5.000000000000000000e-01,5.924790862434174965e-01,-8.981284123462485169e-02
5.999999999999999778e-01,5.909969882172007027e-01,-9.168372418319137296e-02
6.999999999999999556e-01,5.982903843940274857e-01,-8.667063853026106546e-02
8.000000000000000444e-01,5.784963694494016373e-01,-8.795016249708531575e-02
9.000000000000000222e-01,5.408709244979865716e-01,-8.422315073926474327e-02
1.000000000000000000e+00,4.842120441912421969e-01,-7.812335890054156184e-02
