t_min,auc_static,auc_online,auc_sliding,feature_drift
1.500000000000000000e+01,3.953206562266964874e-01,4.841769202087993773e-01,3.953206562266964874e-01,7.368967658294423018e-07
1.800000000000000000e+01,nan,nan,nan,1.386066969644161873e-06
2.100000000000000000e+01,nan,nan,nan,1.081487425835803151e-06
2.400000000000000000e+01,nan,nan,nan,5.339457516129186843e-07
2.700000000000000000e+01,nan,nan,nan,1.228792257279565092e-06
3.000000000000000000e+01,nan,nan,nan,1.139323444476758596e-06
3.300000000000000000e+01,7.310323577949071616e-01,3.827317164880617018e-01,nan,4.493388416904053884e-07
3.600000000000000000e+01,nan,nan,nan,6.336312026178347878e-07
3.900000000000000000e+01,nan,nan,nan,5.450121420835785102e-07
4.200000000000000000e+01,4.715227399553571508e-01,6.801757812500000000e-01,5.775495256696429047e-01,4.743275781038391870e-07
4.500000000000000000e+01,5.538636499002352886e-01,5.329595878376366391e-01,5.681285178236398226e-01,1.134117383116972633e-06
4.800000000000000000e+01,5.449444500498884514e-01,4.981389925896030912e-01,5.374443659682284213e-01,1.743289317346352618e-06
5.100000000000000000e+01,5.492847660044022362e-01,3.859389996494232422e-01,5.790493048810625432e-01,5.667724281011032872e-07
5.400000000000000000e+01,nan,nan,nan,1.111633309847093187e-06
5.700000000000000000e+01,5.679377622151359217e-01,5.320733824898709052e-01,4.715935849639953936e-01,1.218507463818241376e-06
6.000000000000000000e+01,6.032205418344032122e-01,5.178674790555979346e-01,6.479643129148080494e-01,1.061098600985133089e-06
6.300000000000000000e+01,7.097391793692349182e-01,4.490959359937364281e-01,6.686709402755008913e-01,1.100500298889528494e-06
6.600000000000000000e+01,8.091233341131756074e-01,5.212178674185988791e-01,8.136341061981045009e-01,1.143294866778887808e-06
6.900000000000000000e+01,nan,nan,nan,6.929780624886916485e-07
7.200000000000000000e+01,nan,nan,nan,1.039907601807499304e-06
7.500000000000000000e+01,6.864845317605343666e-01,4.904649592452612339e-01,7.653250298420054554e-01,1.145659439316659700e-06
7.800000000000000000e+01,6.425701919259503292e-01,6.641615143076867733e-01,7.731398063805037246e-01,1.039642143041419331e-06
8.100000000000000000e+01,5.540995735898284202e-01,5.527220156155688846e-01,6.447750150898576837e-01,8.308752512675710022e-07
8.400000000000000000e+01,nan,nan,nan,8.150946655405277852e-07
8.700000000000000000e+01,6.988422035480859051e-01,4.308309990662931854e-01,5.544817927170869742e-01,1.331031967310991604e-06
