t_min,auc_static,auc_online,auc_sliding,feature_drift
1.500000000000000000e+01,3.332517710663683852e-01,3.633948545861297452e-01,3.332517710663683852e-01,2.569957548287097326e-01
1.800000000000000000e+01,nan,nan,nan,3.731202984641235898e-01
2.100000000000000000e+01,nan,nan,nan,2.122687721929026605e-01
2.400000000000000000e+01,nan,nan,nan,2.237782931918327334e-01
2.700000000000000000e+01,nan,nan,nan,2.362189395245113122e-01
3.000000000000000000e+01,nan,nan,nan,2.435002147842627307e-01
3.300000000000000000e+01,6.589323389943808618e-01,5.224300724864741063e-01,nan,1.785755564106337456e-01
3.600000000000000000e+01,nan,nan,nan,1.847453704750971204e-01
3.900000000000000000e+01,nan,nan,nan,1.461546488258853860e-01
4.200000000000000000e+01,5.498570033482143016e-01,7.269461495535713969e-01,6.818498883928570953e-01,1.044806332070151306e-01
4.500000000000000000e+01,6.773038952917002087e-01,6.368396170225438802e-01,6.788952917001697118e-01,2.110874829959644705e-01
4.800000000000000000e+01,5.184615298377784898e-01,5.417002993307099556e-01,5.943536362515275950e-01,3.563646840957060413e-01
5.100000000000000000e+01,6.779521721389203393e-01,7.031419720802993822e-01,7.973149270972821334e-01,1.700921079246869305e-01
5.400000000000000000e+01,nan,nan,nan,2.010428143173622895e-01
5.700000000000000000e+01,5.993586402021864323e-01,6.499933491276572717e-01,5.647417484244622310e-01,1.909611565751180295e-01
6.000000000000000000e+01,5.295832879991295705e-01,5.710760526602109977e-01,6.121336089652922308e-01,1.841954905913008589e-01
6.300000000000000000e+01,4.300359668224413290e-01,6.211861711237796069e-01,5.457231288688801918e-01,1.812562104170031274e-01
6.600000000000000000e+01,5.493250259605400032e-01,6.615545951181871498e-01,7.012916651275040714e-01,1.814872454541937852e-01
6.900000000000000000e+01,nan,nan,nan,1.418560663962416257e-01
7.200000000000000000e+01,nan,nan,nan,1.638921102508824890e-01
7.500000000000000000e+01,4.457579549345715986e-01,6.451329529344371760e-01,6.135644315297986706e-01,1.980474321398223991e-01
7.800000000000000000e+01,4.652115127807191497e-01,7.562557087767324271e-01,8.015025361544290128e-01,2.049619420791247426e-01
8.100000000000000000e+01,4.988950330029790492e-01,5.912084542144512289e-01,6.823098191164158610e-01,1.797537970340042091e-01
8.400000000000000000e+01,nan,nan,nan,2.326755311960978789e-01
8.700000000000000000e+01,5.229225023342670697e-01,5.138188608776843580e-01,5.357236227824463404e-01,4.228312692805091810e-01
