t_min,auc_static,auc_online,auc_sliding,feature_drift
1.500000000000000000e+01,3.405224645786726345e-01,3.431208053691274795e-01,3.405224645786726345e-01,2.675886176152033613e-01
1.800000000000000000e+01,nan,nan,nan,4.039781759305135500e-01
2.100000000000000000e+01,nan,nan,nan,2.418675351160262665e-01
2.400000000000000000e+01,nan,nan,nan,2.631842827595406442e-01
2.700000000000000000e+01,nan,nan,nan,2.949672450537780266e-01
3.000000000000000000e+01,nan,nan,nan,3.047367752732457191e-01
3.300000000000000000e+01,6.887833970462284849e-01,5.846389254454680273e-01,nan,2.272630573875888960e-01
3.600000000000000000e+01,nan,nan,nan,2.428121301926976505e-01
3.900000000000000000e+01,nan,nan,nan,1.884324610206934703e-01
4.200000000000000000e+01,5.616803850446427937e-01,6.600603376116072063e-01,6.837332589285713969e-01,1.431612828209652410e-01
4.500000000000000000e+01,6.978580362726705122e-01,6.581606063313381050e-01,6.827611751392238526e-01,2.862451516390274175e-01
4.800000000000000000e+01,6.210411551699009935e-01,5.879620287222950825e-01,6.013996793686027242e-01,4.975662492705121287e-01
5.100000000000000000e+01,7.660733682377485199e-01,7.083144156000896752e-01,7.813435709400627927e-01,2.443335527747297620e-01
5.400000000000000000e+01,nan,nan,nan,2.890860574716371256e-01
5.700000000000000000e+01,6.320162209383841656e-01,6.959364967518577583e-01,6.953469059063340785e-01,2.661128584531460284e-01
6.000000000000000000e+01,5.871265368295071063e-01,6.381982374061581087e-01,6.934871069524535248e-01,2.517891541780533649e-01
6.300000000000000000e+01,5.350615350737686349e-01,6.875015292016344315e-01,5.555589537814097367e-01,2.463267294039622746e-01
6.600000000000000000e+01,8.527411457114829618e-01,6.342375399669182290e-01,7.088274044795783713e-01,2.388278818670042658e-01
6.900000000000000000e+01,nan,nan,nan,1.814275432714705927e-01
7.200000000000000000e+01,nan,nan,nan,2.009644720141897101e-01
7.500000000000000000e+01,6.408558655141626259e-01,6.712771098217800159e-01,6.255908397044280811e-01,2.326187548658656679e-01
7.800000000000000000e+01,6.947536168310701754e-01,7.778525837680563271e-01,8.210033010263998454e-01,2.324931243763170008e-01
8.100000000000000000e+01,6.718540080609045617e-01,5.850532525944819318e-01,6.833515060651492723e-01,1.963200245458175675e-01
8.400000000000000000e+01,nan,nan,nan,2.422151417282482899e-01
8.700000000000000000e+01,4.681886087768440396e-01,6.059943977591036868e-01,5.658916900093371449e-01,4.228313825276723281e-01
