model,variable,dim,score
M1,T1,0,0.8391537515884855
M1,T1,1,0.6864359120077668
M1,T1,2,0.9288888790225189
M1,T1,3,0.9208176951370637
M1,T1,4,0.6970173470515342
M1,T1,5,0.9377782316307925
M1,T1,6,0.7602289589795805
M1,T1,7,0.8147455857861129
M1,T1,8,0.7705654613909213
M1,T1,9,0.6845440355820764
M1,T1,10,0.7931954606805428
M1,T1,11,0.5705040925702287
M1,T1,12,0.8387174113802658
M1,T1,13,0.8993975594547449
M1,T1,14,0.8792985307001966
M1,T1,15,0.83066793350856
M1,T2,0,0.5404941157723834
M1,T2,1,0.5237616912600649
M1,T2,2,0.5444492045234579
M1,T2,3,0.5332604566137661
M1,T2,4,0.5004173406034689
M1,T2,5,0.5427926017479443
M1,T2,6,0.5353976638505592
M1,T2,7,0.5395168188900535
M1,T2,8,0.5176657579383557
M1,T2,9,0.5140363811667326
M1,T2,10,0.5408792289542383
M1,T2,11,0.5070290736149761
M1,T2,12,0.5454198769517643
M1,T2,13,0.5445785004754542
M1,T2,14,0.5198864307207388
M1,T2,15,0.5381688551570917
M1,T3,0,-0.5579092814764808
M1,T3,1,-0.6511355573100417
M1,T3,2,-0.7099363488911472
M1,T3,3,-0.8653648303752044
M1,T3,4,-0.7463824533074737
M1,T3,5,-0.915651097155286
M1,T3,6,-0.8441559880750773
M1,T3,7,-0.5909485089617215
M1,T3,8,-0.9546646279711808
M1,T3,9,-0.7245951875023051
M1,T3,10,-0.5588696236716797
M1,T3,11,-1.3776699679779036
M1,T3,12,-0.5515249473735133
M1,T3,13,-0.7702140310514631
M1,T3,14,-0.8987353659803086
M1,T3,15,-0.4563981468260243
M1,T4,0,-0.0004944664712787095
M1,T4,1,1.5000265525200174e-05
M1,T4,2,-0.0006450267564080958
M1,T4,3,-0.0008797957609051332
M1,T4,4,-0.0017793716907822388
M1,T4,5,-0.0006952204672214801
M1,T4,6,-0.00046224365041885873
M1,T4,7,-0.000683771181264281
M1,T4,8,-0.0009917337399473203
M1,T4,9,-0.00015782812174180982
M1,T4,10,-0.0003686181812173617
M1,T4,11,-0.0019458567052845765
M1,T4,12,-0.0007722827943001942
M1,T4,13,-0.0008593199398941875
M1,T4,14,-0.001710865193807587
M1,T4,15,-0.00037238217785717787
M2,T1,0,0.5928323042709542
M2,T1,1,0.9468454255562659
M2,T1,2,0.6792840271364639
M2,T1,3,0.6280260156441161
M2,T1,4,0.6779648934826706
M2,T1,5,0.7521284226437135
M2,T1,6,0.5930729203665555
M2,T1,7,0.5099761332512451
M2,T1,8,0.5777319484896561
M2,T1,9,0.6029775224361252
M2,T1,10,0.5437862095774826
M2,T1,11,0.6525116324500958
M2,T1,12,0.5000986636988626
M2,T1,13,0.7072016607073792
M2,T1,14,0.5204330053751983
M2,T1,15,0.5330757717474526
M2,T2,0,0.5052519302397223
M2,T2,1,0.5472195009814879
M2,T2,2,0.5258862289871225
M2,T2,3,0.5140012181270093
M2,T2,4,0.5173975287091219
M2,T2,5,0.5220213268020466
M2,T2,6,0.5110343318220307
M2,T2,7,0.5203394429468928
M2,T2,8,0.5049469800330845
M2,T2,9,0.5148407791552779
M2,T2,10,0.503542235265637
M2,T2,11,0.5216223917515929
M2,T2,12,0.5127243530045755
M2,T2,13,0.5206115026427387
M2,T2,14,0.5054162347252258
M2,T2,15,0.5
M2,T3,0,-0.8731681775072617
M2,T3,1,-0.7745074983822138
M2,T3,2,-0.6414601335194421
M2,T3,3,-0.6899083765959693
M2,T3,4,-0.8160240735111426
M2,T3,5,-0.852032895072379
M2,T3,6,-0.6983932578128351
M2,T3,7,-0.6851665088136543
M2,T3,8,-0.6797557535080778
M2,T3,9,-0.6845314098173967
M2,T3,10,-0.6772947220629733
M2,T3,11,-0.6391483962838218
M2,T3,12,-0.7330540367178995
M2,T3,13,-0.6395060801917305
M2,T3,14,-0.6832455832829363
M2,T3,15,-0.677415545273844
M2,T4,0,-0.0007221169388695881
M2,T4,1,-0.0005343581792202068
M2,T4,2,-0.0001781301056333895
M2,T4,3,-0.0001507356891237155
M2,T4,4,-0.0008340330293781228
M2,T4,5,-3.5698176324427955e-05
M2,T4,6,-0.001345380987309741
