variable,model,metric,score,null,above_null
T1,M0,auc,0.9112687757018937,0.3979102041943912,0.5133585715075024
T1,M1,auc,0.707971114228884,0.4624598192086382,0.24551129502024582
T1,M2,auc,0.7858757241915497,0.4737989914596702,0.3120767327318795
T1,M3,auc,0.730871698712636,0.4645560528205978,0.2663156458920382
T2,M0,auc,0.5393186517921472,0.48716341754256887,0.05215523424957835
T2,M1,auc,0.5423303770886441,0.49705290980398337,0.0452774672846607
T2,M2,auc,0.541451436288499,0.4948963184748053,0.0465551178136937
T2,M3,auc,0.5355307645181315,0.5027903372018343,0.03274042731629723
T3,M0,r2,-0.6549299642319042,-0.669772763778719,0.014842799546814778
T3,M1,r2,-0.8687816713933203,-0.7807356538341683,-0.08804601755915198
T3,M2,r2,-1.0746067468126341,-0.7921365380563179,-0.28247020875631623
T3,M3,r2,-0.8326675530948671,-0.8091361603455738,-0.02353139274929328
T4,M0,r2,-0.05035360352031015,-0.07990461016740902,0.029551006647098865
T4,M1,r2,-4.622877737997645,-6.844776561079334,2.2218988230816885
T4,M2,r2,-6.653593737034901,-6.177837373416477,-0.47575636361842477
T4,M3,r2,-5.491591740197174,-6.051039939383521,0.5594481991863463
