target,model,dim,auc
T1,M1,8,0.5626157959042623
T1,M2,8,0.5816374568045499
T1,M3,8,0.587375892876938
T2,M1,8,0.5406458591608977
T2,M2,8,0.5371365838054414
T2,M3,8,0.5380099814728854
T1,M1,16,0.5619101419922371
T1,M2,16,0.5640979724486681
T1,M3,16,0.5703445124281675
T2,M1,16,0.5458371538794843
T2,M2,16,0.5379518264954929
T2,M3,16,0.5308395681936806
T1,M1,32,0.5654153033859586
T1,M2,32,0.560091104635432
T1,M3,32,0.5635933430391309
T2,M1,32,0.545153530030368
T2,M2,32,0.5503889811938245
T2,M3,32,0.5370715902655342
