target,model,n_labels,test_auc
T1,M0,1134,0.586600881375248
T1,M0,2835,0.6439653437066758
T1,M0,5670,0.6352194928358617
T1,M0,14175,0.6446810460862873
T1,M0,28350,0.6459957518476331
T1,M0,56700,0.6461049944634156
T1,M1,1134,0.5885373346897477
T1,M1,2835,0.5657780078422168
T1,M1,5670,0.5866221695667324
T1,M1,14175,0.5706936387685102
T1,M1,28350,0.5646017966571805
T1,M1,56700,0.5697751360320951
T1,M2,1134,0.5564189136646915
T1,M2,2835,0.5694196783850624
T1,M2,5670,0.5782293166192719
T1,M2,14175,0.5842423372713547
T1,M2,28350,0.5895589031573696
T1,M2,56700,0.596490272123753
T1,M3,1134,0.5392277283878254
T1,M3,2835,0.5675350336899416
T1,M3,5670,0.5554604266307995
T1,M3,14175,0.5643281386101722
T1,M3,28350,0.565273974060835
T1,M3,56700,0.5721995632280796
T2,M0,892,0.5484551583440224
T2,M0,2230,0.5541515493888303
T2,M0,4460,0.5571756774394745
T2,M0,11149,0.5570223433193355
T2,M0,22299,0.558689409816924
T2,M0,44597,0.5596813366342773
T2,M1,892,0.5456769416389855
T2,M1,2230,0.5449252278596174
T2,M1,4460,0.5459302226111814
T2,M1,11149,0.5517085646552511
T2,M1,22299,0.5546089874119222
T2,M1,44597,0.551905574592439
T2,M2,892,0.5432068953834036
T2,M2,2230,0.5501152517824222
T2,M2,4460,0.5513194667657828
T2,M2,11149,0.5504464290747315
T2,M2,22299,0.5510039543802312
T2,M2,44597,0.5496903748107825
T2,M3,892,0.5373891072448987
T2,M3,2230,0.5365343314331523
T2,M3,4460,0.5310364020984566
T2,M3,11149,0.5328646401142938
T2,M3,22299,0.5358324872404686
T2,M3,44597,0.5370626205241014
