target,model,metric,value
T1,M0,auc,0.6461049944634156
T1,M1,auc,0.5697751360320951
T1,M2,auc,0.596490272123753
T1,M3,auc,0.5721995632280796
T1,M0_blockedcv5,auc,0.7068712070593618
T2,M0,auc,0.5596813366342773
T2,M1,auc,0.551905574592439
T2,M2,auc,0.5496903748107825
T2,M3,auc,0.5370626205241014
T2,M0_blockedcv5,auc,0.5584831801369015
T3,M0,r2,-0.028576900976232222
T3,M1,r2,-0.06238953518925361
T3,M2,r2,-0.07795366888944955
T3,M3,r2,-0.06168317283976932
T3,M0_blockedcv5,r2,-0.05505460499112134
T4,M0,r2,-0.0003675025639930385
T4,M1,r2,-0.14469016558351777
T4,M2,r2,-0.1358061926433678
T4,M3,r2,-0.12705954006046782
T4,M0_blockedcv5,r2,-0.002236677188292646
